a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,32,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,32,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,32,3
0.1,4.77177758730256,0.4767083629934202,0.030449196393610194,True,2147.994140625,10,48,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,48,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,48,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,48,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,48,3
0.1,4.765834776910476,0.4760211437989516,0.030449196393610194,True,2152.264892578125,10,64,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,64,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,64,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,64,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,64,3
0.1,5.013436027066347,0.4552285495999864,0.030449196393610194,True,2279.41162109375,4,72,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,4,72,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,4,72,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,4,72,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,4,72,3
0.1,4.8668591508546655,0.45183097718391263,0.030449196393610194,True,2191.786376953125,6,72,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,6,72,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,6,72,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,6,72,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,6,72,3
0.1,4.796486249326587,0.4644848807035783,0.030449196393610194,True,2163.420654296875,8,72,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,8,72,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,8,72,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,8,72,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,8,72,3
0.1,4.764573945183089,0.47586964110700086,0.030449196393610194,True,2152.0107421875,10,72,0
0.1,4.736474500908736,4.736474500908736,0.030449196393610194,False,2104.41650390625,10,72,0
0.1,4.735978908095596,4.735978908095596,0.030449196393610194,False,2081.644287109375,10,72,1
0.1,4.7352041289776885,4.7352041289776885,0.030449196393610194,False,2081.892578125,10,72,2
0.1,4.735309683645973,4.735309683645973,0.030449196393610194,False,2081.88916015625,10,72,3
0.1,4.580728592298399,0.4576602052583062,0.05313292845913058,True,1687.2152099609375,10,8,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,8,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,8,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,8,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,8,3
0.1,4.70963306409759,0.47158529082384404,0.05313292845913058,True,1824.272216796875,10,16,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,16,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,16,1
0.1,4.733250566259252,4.733250566259252,0.05313292845913058,False,2065.435546875,10,16,2
0.1,4.733811409123086,4.733811409123086,0.05313292845913058,False,2065.41748046875,10,16,3
0.1,4.785755219078351,0.47529218649008526,0.05313292845913058,True,2100.913330078125,10,32,0
0.1,4.736474500908736,4.736474500908736,0.05313292845913058,False,2104.41650390625,10,32,0
0.1,4.735609706411535,4.735609706411535,0.05313292845913058,False,2064.6796875,10,32,1
